topic,outlet,datetime,title,url,sample_text,ideological_stance,factual_grounding,framing_choices,emotional_tone,source_transparency,cluster
AI_policy,Fox News,2025-08-09 14:00,How scammers exploit your data for 'pre-approved' retirement scams,https://www.foxnews.com/tech/how-scammers-exploit-your-data-pre-approved-retirement-scams,,,,,,,-1
AI_policy,Fox News,2025-08-09 10:00,Will Tesla’s diner trend catch on across the US?,https://www.foxnews.com/tech/teslas-diner-trend-catch-across-u-s,,,,,,,-1
AI_policy,Fox News,2025-08-08 18:58,Fox News AI Newsletter: OpenAI GPT-5 draws Musk eyeroll,https://www.foxnews.com/tech/ai-newsletter-openai-gpt-5-draws-musk-eyeroll,,,,,,,-1
AI_policy,Fox News,2025-08-08 14:00,How to tell if your Samsung Galaxy tablet has been hacked,https://www.foxnews.com/tech/how-tell-your-samsung-galaxy-tablet-has-been-hacked,,,,,,,-1
AI_policy,Fox News,2025-08-08 10:00,AI companions replace real friends for many teens,https://www.foxnews.com/tech/ai-companions-replace-real-friends-many-teens,,,,,,,-1
AI_policy,Fox News,2025-08-07 22:07,Forget SEO: How to get found by AI tools in 2025,https://www.foxnews.com/tech/forget-seo-how-get-found-ai-tools-2025,,,,,,,-1
AI_policy,Fox News,2025-08-07 19:00,Off-grid cabin design required a helicopter installation,https://www.foxnews.com/tech/off-grid-cabin-design-required-helicopter-installation,,,,,,,-1
AI_policy,Fox News,2025-08-07 17:00,$12K EV that could change everything,https://www.foxnews.com/tech/12k-ev-could-change-everything,,,,,,,-1
AI_policy,Fox News,2025-08-07 14:00,QR code scams rise as 73% of Americans scan without checking,https://www.foxnews.com/tech/qr-code-scams-rise-73-americans-scan-without-checking,,,,,,,-1
AI_policy,Fox News,2025-08-07 10:00,"$5,900 Unitree R1 robot is surprisingly affordable",https://www.foxnews.com/tech/5900-unitree-r1-robot-surprisingly-affordable,,,,,,,-1
AI_policy,Fox News,2025-08-06 19:00,Google turns CO2 into battery power for clean energy,https://www.foxnews.com/tech/google-turns-co2-battery-power-clean-energy,,,,,,,-1
AI_policy,Fox News,2025-08-06 17:00,New tattoo sticker detects date rape drugs in 1 second,https://www.foxnews.com/tech/new-tattoo-sticker-detects-date-rape-drugs-1-second,,,,,,,-1
AI_policy,Fox News,2025-08-06 14:00,"Tea app hacked as women's photos, IDs & even DMs leaked online",https://www.foxnews.com/tech/tea-app-hacked-womens-photos-ids-even-dms-leaked-online,,,,,,,-1
AI_policy,Fox News,2025-08-06 10:00,Ultra-thin sound blocker cuts traffic noise dramatically,https://www.foxnews.com/tech/ultra-thin-sound-blocker-cuts-traffic-noise-dramatically,,,,,,,-1
AI_policy,Fox News,2025-08-05 19:00,Sustainable 3D-printed home built primarily from soil,https://www.foxnews.com/tech/sustainable-3d-printed-home-built-primarily-from-soil,,,,,,,-1
AI_policy,Fox News,2025-08-05 17:00,Stop Google from following your every move,https://www.foxnews.com/tech/stop-google-from-following-your-every-move,,,,,,,-1
AI_policy,Fox News,2025-08-05 14:00,How to quickly recover a disabled Facebook account,https://www.foxnews.com/tech/how-quickly-recover-disabled-facebook-account,,,,,,,-1
AI_policy,Fox News,2025-08-05 10:00,AI models can secretly infect each other,https://www.foxnews.com/tech/ai-models-can-secretly-infect-each-other,,,,,,,-1
AI_policy,Fox News,2025-08-04 19:00,Microsoft Authenticator is deleting your passwords,https://www.foxnews.com/tech/microsoft-authenticator-deleting-your-passwords,,,,,,,-1
AI_policy,Fox News,2025-08-04 17:00,World's thinnest AI glasses feature built-in AI assistant,https://www.foxnews.com/tech/worlds-thinnest-ai-glasses-feature-built-in-ai-assistant,,,,,,,-1
AI_policy,Fox News,2025-08-04 14:00,Multiple US cancer centers hit in coordinated phishing breach,https://www.foxnews.com/tech/multiple-us-cancer-centers-hit-coordinated-phishing-breach,,,,,,,-1
AI_policy,Fox News,2025-08-04 10:00,Would you date your pet? 1 in 3 say yes to AI version,https://www.foxnews.com/tech/would-you-date-your-pet-1-3-say-yes-ai-version,,,,,,,-1
AI_policy,Fox News,2025-08-03 19:00,Microsoft SharePoint bug puts critical government agencies at risk,https://www.foxnews.com/tech/microsoft-sharepoint-bug-puts-critical-government-agencies-risk,,,,,,,-1
